ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0055085	transmembrane transport	587	34	AFUB_009790,AFUB_009810,AFUB_025440,AFUB_027270,AFUB_030910,AFUB_033970,AFUB_041130,AFUB_041460,AFUB_045560,AFUB_046720,AFUB_046860,AFUB_047000,AFUB_048790,AFUB_049630,AFUB_052070,AFUB_057030,AFUB_058020,AFUB_063160,AFUB_064870,AFUB_066540,AFUB_079760,AFUB_080900,AFUB_081190,AFUB_085770,AFUB_087490,AFUB_088060,AFUB_092370,AFUB_094820,AFUB_100400,AFUB_101100,AFUB_101120,AFUB_101230,AFUB_101559,AFUB_101650,	5.8	1.85	2.05	0.000316869955284	0.00887235874795	0.00887235874795
GO:0007155	cell adhesion	4	2	AFUB_028890,AFUB_098950,	50.0	15.95	31.17	0.00562769018909	0.0787876626472	0.157575325294
GO:0071554	cell wall organization or biogenesis	139	9	AFUB_033290,AFUB_040120,AFUB_052460,AFUB_052480,AFUB_057130,AFUB_077830,AFUB_078070,AFUB_096750,AFUB_097070,	6.5	2.07	2.19	0.0302369405074	0.219367854743	0.846634334208
GO:0002376	immune system process	1	1	AFUB_068800,	100.0	31.91	inf	0.0313382649633	0.219367854743	0.877471418973
