ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0071554	cell wall organization or biogenesis	139	14	AFUB_021050,AFUB_033290,AFUB_040120,AFUB_052460,AFUB_052480,AFUB_057130,AFUB_073450,AFUB_077830,AFUB_078070,AFUB_078210,AFUB_081630,AFUB_091960,AFUB_096750,AFUB_097070,	10.1	1.92	2.06	0.0142650193682	0.316130538442	0.584865794098
GO:0007155	cell adhesion	4	2	AFUB_028890,AFUB_098950,	50.0	9.51	18.1	0.0154210018752	0.316130538442	0.632261076885
GO:0006629	lipid metabolic process	314	24	AFUB_000760,AFUB_000770,AFUB_025250,AFUB_028310,AFUB_030040,AFUB_033700,AFUB_034460,AFUB_049850,AFUB_050130,AFUB_055310,AFUB_057580,AFUB_062540,AFUB_064440,AFUB_064770,AFUB_074120,AFUB_078070,AFUB_079710,AFUB_081980,AFUB_086200,AFUB_086820,AFUB_088310,AFUB_091120,AFUB_096730,AFUB_100130,	7.6	1.45	1.52	0.040939703999	0.539038332214	1.0
