ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005975	carbohydrate metabolic process	446	21	AFUB_000160,AFUB_002520,AFUB_021510,AFUB_030040,AFUB_030140,AFUB_030390,AFUB_036580,AFUB_049660,AFUB_050810,AFUB_059160,AFUB_061710,AFUB_067250,AFUB_067260,AFUB_071270,AFUB_078210,AFUB_081630,AFUB_083960,AFUB_090600,AFUB_096090,AFUB_099910,AFUB_100920,	4.7	2.48	2.83	9.10833341628e-05	0.00209491668574	0.00209491668574
GO:0006629	lipid metabolic process	314	15	AFUB_000770,AFUB_012740,AFUB_028190,AFUB_029250,AFUB_030040,AFUB_049870,AFUB_050130,AFUB_059160,AFUB_062540,AFUB_064440,AFUB_065540,AFUB_071270,AFUB_071940,AFUB_099910,AFUB_100130,	4.8	2.52	2.79	0.000853457323661	0.0098147592221	0.0196295184442
