"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AFUB_100380-T",5023.2018364449,5.11838560793956,0.350227158137857,3.96914820585695e-49,2.04528880431541e-45
"AFUB_100420-T",27171.9523542459,4.28213885500661,0.292396776843888,4.2556987189251e-49,2.04528880431541e-45
"AFUB_079720-T",2804.18742564924,4.27094056602975,0.313744574798117,9.8462650945164e-43,3.15474333628306e-39
"AFUB_079750-T",959.663695019488,4.59203616304103,0.33870446697548,1.74888809570089e-42,4.20257809396924e-39
"AFUB_100350-T",1629.57593846771,4.48647545097477,0.358268122211055,1.45248504410768e-36,2.7922572487926e-33
"AFUB_071540-T",9633.38733620169,7.4696281468628,0.61505195835077,1.29930759507262e-35,2.08149076730634e-32
"AFUB_095450-T",384.348510446197,-3.17899825219411,0.262758730859128,3.66546649117062e-35,5.03320913044742e-32
"AFUB_092090-T",48811.7031802402,6.52077539275971,0.547806993613795,6.21647619980823e-34,7.46909615406959e-31
"AFUB_094360-T",5322.94705916625,-2.97697678414587,0.258271862438894,2.81488614829875e-33,3.00629840638307e-30
"AFUB_094370-T",1392.48320941892,-2.78250346774951,0.251347693627031,2.24898134551394e-32,2.161720869308e-29
"AFUB_079740-T",1593.03425985683,3.36661358799399,0.289316860101469,2.89782068201824e-32,2.5321683995963e-29
"AFUB_049320-T",448.274579782615,-2.75515046540465,0.263989461364485,1.28317508250866e-29,1.02782324108943e-26
"AFUB_025250-T",3070.41885532096,3.14743467880459,0.323020344865748,2.1494597624892e-24,1.58927747977278e-21
"AFUB_090760-T",754.591506760713,-1.87554129470193,0.202898932845606,1.68754151144745e-23,1.15861778628806e-20
"AFUB_100390-T",2215.09018177176,2.44541812924231,0.292401357404832,2.42017400882708e-22,1.5508475048564e-19
"AFUB_060890-T",3205.19878597496,2.14321764591848,0.266895443839381,1.46474995486206e-20,8.79948535383385e-18
"AFUB_030910-T",3719.12456712246,1.87990098838209,0.22265158683943,1.94425371686936e-20,1.09930392509107e-17
"AFUB_070900-T",2757.31675718531,2.37524677242119,0.307606671508661,5.41845240852101e-20,2.89345358615022e-17
"AFUB_000740-T",311.066773822756,2.9998387574067,0.360312540869626,9.30924593623444e-20,4.70949852310976e-17
"AFUB_034220-T",1469.59706997942,1.8258687526927,0.219702030919595,1.3290171632958e-19,6.38725648679959e-17
"AFUB_027270-T",46348.8410755509,1.68689154624172,0.205803003960549,2.04264579687162e-18,9.34948161882382e-16
"AFUB_050450-T",21649.2180346397,-2.02981218788904,0.270881356344591,4.66202344947474e-18,2.03688042710687e-15
