"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AFUB_030040-T",3118.68964346999,4.72559135894638,0.194450347043797,9.97350697197642e-132,9.37609390435503e-128
"AFUB_034220-T",1668.25181917411,-2.81029203838057,0.177115750458357,5.73635090857505e-58,2.6963717445757e-54
"AFUB_101390-T",6393.71023851801,2.49741792881708,0.172675389076221,1.24039440108527e-48,3.88698258820087e-45
"AFUB_079750-T",291.051462388505,-4.20220840414069,0.348341982845513,1.05669988887793e-34,2.48350891383536e-31
"AFUB_079730-T",663.455678428988,-3.94302692963058,0.358476410976001,2.04105289265383e-29,3.83758764876774e-26
"AFUB_079740-T",490.799263808573,-3.32457936291052,0.308702229437547,2.46199546007112e-28,3.85753655335477e-25
"AFUB_081370-T",1276.83407613117,2.46627494054175,0.230381283697843,5.1159856834274e-28,6.870768772843e-25
"AFUB_084810-T",687.074127439193,2.31291054170174,0.222809169199119,1.61524690468219e-26,1.89811701886466e-23
"AFUB_047540-T",433.845543039245,13.5226387927596,3.17778960977945,3.02890158862268e-24,3.16385598162687e-21
"AFUB_047950-T",3511.61362385776,-1.52021944228633,0.154873517953348,5.74777189455876e-24,5.40348035807469e-21
"AFUB_050450-T",21506.0825696137,1.6174082039896,0.16691678291788,2.08980485367583e-23,1.78602322085513e-20
"AFUB_081340-T",10774.399993804,1.85782128967118,0.193723355411666,4.92466269490506e-23,3.85806283290021e-20
"AFUB_047180-T",2715.81849456012,1.57707668915872,0.169919103474275,9.94816537707453e-22,7.19405405460597e-19
"AFUB_095060-T",451.660935026504,-2.4617404271524,0.278909358941329,5.37830032675249e-20,3.6115286694143e-17
"AFUB_091700-T",4022.52945840095,-2.04278016705943,0.232588093649472,8.2409157745215e-20,5.16485661308511e-17
"AFUB_079720-T",925.765414118578,-2.99259215664197,0.344885907188193,1.8919714637202e-19,1.1116514831521e-16
"AFUB_051160-T",1033.60912946224,-2.92989271500837,0.339760519536449,3.08228228736549e-19,1.62042621348009e-16
"AFUB_063290-T",2068.06970316679,-1.78859876546911,0.207085661085604,3.12757389837757e-19,1.62042621348009e-16
"AFUB_100380-T",1404.53303852174,-2.51823585326584,0.292076223118798,3.27498117818547e-19,1.62042621348009e-16
"AFUB_100420-T",8602.53917226819,-2.36119572058501,0.274570250460658,3.95745026307439e-19,1.86019949615812e-16
"AFUB_090710-T",3500.6672704206,1.4702000366025,0.171398823333283,5.8182129979594e-19,2.60462001875316e-16
"AFUB_079710-T",100.025756779184,-3.83584671679177,0.46083675277216,4.96856007440465e-18,2.12315605724901e-15
"AFUB_062410-T",2436.84571188622,-1.51328313017018,0.182182856025219,5.6609308559542e-18,2.31384395551415e-15
"AFUB_086630-T",935.932131934567,-2.70158365572254,0.328080716534451,8.44564000939675e-18,3.30822757201412e-15
"AFUB_057820-T",870.177567848243,-2.69412248265997,0.329425426165211,1.38728409142258e-17,5.21674309738546e-15
