"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AFUB_034510-T",15535.4202858089,8.92719721570394,0.233300620058536,0,0
"AFUB_102350-T",29582.3539327034,7.95369430473718,0.20988980579854,0,0
"AFUB_102340-T",6139.15961671533,7.10622693328866,0.208643173027743,2.85448782311109e-255,9.51495941037031e-252
"AFUB_102330-T",5165.20284036113,7.06577482264472,0.266109250230573,2.19330741301652e-156,5.4832685325413e-153
"AFUB_088580-T",6602.95526747823,-5.75898086761907,0.235768302001188,4.26521674653478e-134,8.53043349306957e-131
"AFUB_034460-T",6114.36824341293,6.0887031190264,0.257766460733376,3.48201286505711e-125,5.80335477509519e-122
"AFUB_064910-T",5861.96360821634,-5.11611070136999,0.221135154874188,8.9536658754262e-122,1.27909512506089e-118
"AFUB_034480-T",4829.59662753834,4.76470347797215,0.210861657835657,1.16592549634499e-116,1.45740687043124e-113
"AFUB_100420-T",27171.9523542459,6.50329153809688,0.294266698029218,1.29587594218562e-109,1.43986215798402e-106
"AFUB_102760-T",9222.47673582124,5.23038322786798,0.242772163794937,3.74799814944983e-106,3.74799814944983e-103
"AFUB_100380-T",5023.2018364449,7.55149341808126,0.351947687667444,4.3949575452534e-103,3.99541595023036e-100
"AFUB_061490-T",7239.91148706531,5.02858337021439,0.237819827311625,1.10954530338592e-102,9.24621086154934e-100
"AFUB_080110-T",9540.36070963361,5.06070524844264,0.242412141139258,3.38755618165892e-100,2.60581244742994e-97
"AFUB_100350-T",1629.57593846771,7.31321031197748,0.359313017011552,4.33015822403295e-93,3.09297016002354e-90
"AFUB_079720-T",2804.18742564924,6.31182830953239,0.316059854551401,2.55472620339563e-90,1.70315080226375e-87
"AFUB_079750-T",959.663695019488,6.68762017062696,0.340056286455805,2.26251515439614e-87,1.41407197149759e-84
"AFUB_034490-T",3988.55525893429,3.58318462549059,0.18407949646735,1.53632885713869e-86,9.03722857140404e-84
"AFUB_079740-T",1593.03425985683,5.46249255297685,0.290022461697623,5.52989581997443e-82,3.07216434443024e-79
"AFUB_092120-T",4260.87712420156,-4.091891277264,0.220258459525914,4.94232758100825e-80,2.60122504263592e-77
"AFUB_094360-T",5322.94705916625,-4.67264326678619,0.256195749788268,6.76658147380259e-78,3.3832907369013e-75
"AFUB_101210-T",2550.64172487171,5.05744427514816,0.278449992055904,3.98288534034787e-77,1.89661206683232e-74
"AFUB_027780-T",1741.39348516036,3.64271359050379,0.199806848439787,1.67412555614488e-76,7.60966161884037e-74
"AFUB_095110-T",1482.70403192288,-9.00502813854574,0.506505987489816,9.28067108889248e-72,4.03507438647499e-69
"AFUB_087030-T",1477.90036216946,4.88225110640213,0.280348598740698,1.85984166439123e-71,7.64549535079593e-69
"AFUB_027270-T",46348.8410755509,3.66051936229942,0.20823237934358,1.91137383769898e-71,7.64549535079593e-69
