"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AFUB_102350-T",26928.4386357964,-8.84062097955168,0.258187980535664,3.92133653153777e-258,3.94172748150177e-254
"AFUB_102330-T",3324.57569455477,-6.96745968187305,0.263559756968235,3.02586775454337e-155,1.5208011334335e-151
"AFUB_102340-T",4194.5610089413,-6.7932747583016,0.260815820846644,7.31679368183596e-151,2.4516136696605e-147
"AFUB_102760-T",11083.7899660585,-6.35104028230733,0.253215493573436,1.1138904247569e-139,2.79920663741409e-136
"AFUB_080110-T",11490.4411241669,-6.27449635152302,0.251905042312735,1.33168726284964e-138,2.67722407323291e-135
"AFUB_034510-T",9907.53255068539,-7.43818276591727,0.352599638516658,2.47670288399e-100,4.14930289831125e-97
"AFUB_061490-T",7099.60314818632,-3.39807445122423,0.177773267827611,1.47727301186666e-82,2.12136404504052e-79
"AFUB_034250-T",1770.40154326053,-2.09607997298522,0.115765417672968,1.85578604397775e-74,2.33179516425804e-71
"AFUB_035520-T",135.105013915931,-3.09166465656035,0.175896066728365,2.97809102475279e-70,3.32619677564612e-67
"AFUB_044760-T",414.961886563705,4.65364545731252,0.273073383029368,2.704281155206e-66,2.71834341721308e-63
"AFUB_087620-T",1026.6466128401,-4.60768197737478,0.303405348420239,2.28119442532632e-53,2.08459694212547e-50
"AFUB_087030-T",1489.24769470405,-3.27412385825061,0.220420607577478,4.34750445462139e-51,3.64175956482119e-48
"AFUB_034460-T",4177.22628915805,-5.37159346834868,0.367467373069713,1.08008581835944e-49,8.35155588165314e-47
"AFUB_017510-T",260.538092204539,5.56981573216627,0.385792665926423,1.9249888996402e-48,1.38214202994167e-45
"AFUB_055730-T",2751.33987103223,-2.03042660774987,0.141075290641708,3.81983310270651e-48,2.55979748989372e-45
"AFUB_027780-T",1770.04678158606,-1.92605872902905,0.133955399820846,5.19827037967994e-48,3.26581336603392e-45
"AFUB_034520-T",10131.6570503974,-7.59805011078993,0.529786954394743,5.80936171094803e-48,3.43504140696763e-45
"AFUB_071410-T",3200.18976175121,-2.97806255109057,0.208015764385313,1.0395781254745e-47,5.80546628737203e-45
"AFUB_080125-T",14413.6962805073,-2.17638101438242,0.157212282323547,8.32044930930759e-45,4.40195560300842e-42
"AFUB_100930-T",828.114422232076,-3.26133712848162,0.238504307470395,8.29803521712768e-44,4.17059250012837e-41
"AFUB_070300-T",26471.1966613827,3.48919540529368,0.255588841740836,1.19007371350893e-43,5.69648617532943e-41
"AFUB_017330-T",3010.05527355297,3.61511877919239,0.26974875854149,3.65099121202341e-42,1.6681710756027e-39
"AFUB_046740-T",440.741948680841,-2.52234554695606,0.190291135555044,2.75778312250992e-41,1.20527112815086e-38
"AFUB_021050-T",33321.1930920642,6.61895259409984,0.500760231577381,5.7349821069283e-41,2.4020016724518e-38
"AFUB_055670-T",3196.81979669333,1.00614618021508,0.0761432692304856,1.73886266404889e-40,6.99161899960777e-38
"AFUB_090190-T",6353.86162684981,-1.00324957485353,0.0763909165810355,3.93398767651411e-40,1.52094015862768e-37
