Gene	Classification
AFUB_062470-T	WT_v_Del
AFUB_061940-T	WT_v_Del
AFUB_057580-T	WT_v_Del
AFUB_079730-T	WT_v_Del
AFUB_050780-T	WT_v_Del
AFUB_071810-T	WT_v_Del
AFUB_029260-T	WT_v_Del
AFUB_079760-T	WT_v_Del
AFUB_061660-T	WT_v_Del
AFUB_075510-T	WT_v_Del
AFUB_081940-T	WT_v_Del
AFUB_092420-T	WT_v_Del
AFUB_057140-T	WT_v_Del
AFUB_041670-T	WT_v_Del
AFUB_052470-T	WT_v_Del
AFUB_088060-T	WT_v_Del
AFUB_101280-T	WT_v_Del
AFUB_080820-T	WT_v_Del
AFUB_051200-T	WT_v_Del
AFUB_056340-T	WT_v_Del
AFUB_070090-T	WT_v_Del
AFUB_031300-T	WT_v_Del
AFUB_090080-T	WT_v_Del
AFUB_039180-T	WT_v_Del
AFUB_079870-T	WT_v_Del
AFUB_000980-T	WT_v_Del
AFUB_003290-T	WT_v_Del
AFUB_085770-T	WT_v_Del
AFUB_079300-T	WT_v_Del
AFUB_091030-T	WT_v_Del
AFUB_033730-T	WT_v_Del
AFUB_071820-T	WT_v_Del
AFUB_079710-T	WT_v_Del
AFUB_100400-T	WT_v_Del
AFUB_062000-T	WT_v_Del
AFUB_010700-T	WT_v_Del
AFUB_092370-T	WT_v_Del
AFUB_096740-T	WT_v_Del
AFUB_056720-T	WT_v_Del
AFUB_063650-T	WT_v_Del
AFUB_010760-T	WT_v_Del
AFUB_079700-T	WT_v_Del
AFUB_032690-T	WT_v_Del
AFUB_044680-T	WT_v_Del
AFUB_010210-T	WT_v_Del
AFUB_057030-T	WT_v_Del
AFUB_087490-T	WT_v_Del
AFUB_046960-T	WT_v_Del
AFUB_101610-T	WT_v_Del
AFUB_075920-T	WT_v_Del
AFUB_073780-T	WT_v_Del
AFUB_046660-T	WT_v_Del
AFUB_086820-T	WT_v_Del
AFUB_027070-T	WT_v_Del
AFUB_046600-T	WT_v_Del
AFUB_100690-T	WT_v_Del
AFUB_030870-T	WT_v_Del
AFUB_041250-T	WT_v_Del
AFUB_086170-T	WT_v_Del
AFUB_034070-T	WT_v_Del
AFUB_099260-T	WT_v_Del
AFUB_071710-T	WT_v_Del
AFUB_029980-T	WT_v_Del
AFUB_005590-T	WT_v_Del
AFUB_080900-T	WT_v_Del
AFUB_045780-T	WT_v_Del
AFUB_079630-T	WT_v_Del
AFUB_087140-T	WT_v_Del
AFUB_079640-T	WT_v_Del
AFUB_027340-T	WT_v_Del
AFUB_075660-T	WT_v_Del
AFUB_078100-T	WT_v_Del
AFUB_098740-T	WT_v_Del
AFUB_049200-T	WT_v_Del
AFUB_034530-T	WT_v_Del
AFUB_031120-T	WT_v_Del
AFUB_101120-T	WT_v_Del
AFUB_086040-T	WT_v_Del
AFUB_063150-T	WT_v_Del
AFUB_017490-T	WT_v_Del
AFUB_052460-T	WT_v_Del
AFUB_086130-T	WT_v_Del
AFUB_042540-T	WT_v_Del
AFUB_027270-T	WT_v_Del
AFUB_039490-T	WT_v_Del
AFUB_066540-T	WT_v_Del
AFUB_034450-T	WT_v_Del
AFUB_097040-T	WT_v_Del
AFUB_073740-T	WT_v_Del
AFUB_096730-T	WT_v_Del
AFUB_076220-T	WT_v_Del
AFUB_079750-T	WT_v_Del
AFUB_028890-T	WT_v_Del
AFUB_080720-T	WT_v_Del
AFUB_093990-T	WT_v_Del
AFUB_095120-T	WT_v_Del
AFUB_035610-T	WT_v_Del
AFUB_097940-T	WT_v_Del
AFUB_085080-T	WT_v_Del
AFUB_098950-T	WT_v_Del
AFUB_101190-T	WT_v_Del
AFUB_100420-T	WT_v_Del
AFUB_029140-T	WT_v_Del
AFUB_034460-T	WT_v_Del
AFUB_024600-T	WT_v_Del
AFUB_036560-T	WT_v_Del
AFUB_094820-T	WT_v_Del
AFUB_101630-T	WT_v_Del
AFUB_006180-T	WT_v_Del
AFUB_064870-T	WT_v_Del
AFUB_055240-T	WT_v_Del
AFUB_049850-T	WT_v_Del
AFUB_010720-T	WT_v_Del
AFUB_016970-T	WT_v_Del
AFUB_086310-T	WT_v_Del
AFUB_058030-T	WT_v_Del
AFUB_100130-T	WT_v_Del
AFUB_051170-T	WT_v_Del
AFUB_034440-T	WT_v_Del
AFUB_025440-T	WT_v_Del
AFUB_086030-T	WT_v_Del
AFUB_034470-T	WT_v_Del
AFUB_092150-T	WT_v_Del
AFUB_079720-T	WT_v_Del
AFUB_030660-T	WT_v_Del
AFUB_100370-T	WT_v_Del
AFUB_084590-T	WT_v_Del
AFUB_013160-T	WT_v_Del
AFUB_013150-T	WT_v_Del
AFUB_032250-T	WT_v_Del
AFUB_077660-T	WT_v_Del
AFUB_085100-T	WT_v_Del
AFUB_049210-T	WT_v_Del
AFUB_090620-T	WT_v_Del
AFUB_077710-T	WT_v_Del
AFUB_099880-T	WT_v_Del
AFUB_036210-T	WT_v_Del
AFUB_045560-T	WT_v_Del
AFUB_020580-T	WT_v_Del
AFUB_047000-T	WT_v_Del
AFUB_081190-T	WT_v_Del
AFUB_061920-T	WT_v_Del
AFUB_068800-T	WT_v_Del
AFUB_033970-T	WT_v_Del
AFUB_063290-T	WT_v_Del
AFUB_048800-T	WT_v_Del
AFUB_045510-T	WT_v_Del
AFUB_045520-T	WT_v_Del
AFUB_094860-T	WT_v_Del
AFUB_088310-T	WT_v_Del
AFUB_060890-T	WT_v_Del
AFUB_045830-T	WT_v_Del
AFUB_101830-T	WT_v_Del
AFUB_071770-T	WT_v_Del
AFUB_055310-T	WT_v_Del
AFUB_034510-T	WT_v_Del
AFUB_034090-T	WT_v_Del
AFUB_101290-T	WT_v_Del
AFUB_078960-T	WT_v_Del
AFUB_033740-T	WT_v_Del
AFUB_034480-T	WT_v_Del
AFUB_013100-T	WT_v_Del
AFUB_030050-T	WT_v_Del
AFUB_044670-T	WT_v_Del
AFUB_012940-T	WT_v_Del
AFUB_101090-T	WT_v_Del
AFUB_041130-T	WT_v_Del
AFUB_034050-T	WT_v_Del
AFUB_100350-T	WT_v_Del
AFUB_013430-T	WT_v_Del
AFUB_049630-T	WT_v_Del
AFUB_068140-T	WT_v_Del
AFUB_079530-T	WT_v_Del
AFUB_071750-T	WT_v_Del
AFUB_078400-T	WT_v_Del
AFUB_034520-T	WT_v_Del
AFUB_077850-T	WT_v_Del
AFUB_090110-T	WT_v_Del
AFUB_047720-T	WT_v_Del
AFUB_048790-T	WT_v_Del
AFUB_086060-T	WT_v_Del
AFUB_009810-T	WT_v_Del
AFUB_079740-T	WT_v_Del
AFUB_071780-T	WT_v_Del
AFUB_057760-T	WT_v_Del
AFUB_101100-T	WT_v_Del
AFUB_101110-T	WT_v_Del
AFUB_088290-T	WT_v_Del
AFUB_036090-T	WT_v_Del
AFUB_064450-T	WT_v_Del
AFUB_086050-T	WT_v_Del
AFUB_055170-T	WT_v_Del
AFUB_013850-T	WT_v_Del
AFUB_057130-T	WT_v_Del
AFUB_101210-T	WT_v_Del
AFUB_101559-T	WT_v_Del
AFUB_075520-T	WT_v_Del
AFUB_050260-T	WT_v_Del
AFUB_041460-T	WT_v_Del
AFUB_084890-T	WT_v_Del
AFUB_082630-T	WT_v_Del
AFUB_047840-T	WT_v_Del
AFUB_075620-T	WT_v_Del
AFUB_045790-T	WT_v_Del
AFUB_089550-T	WT_v_Del
AFUB_096750-T	WT_v_Del
AFUB_066710-T	WT_v_Del
AFUB_004500-T	WT_v_Del
AFUB_052320-T	WT_v_Del
AFUB_100730-T	WT_v_Del
AFUB_029480-T	WT_v_Del
AFUB_088380-T	WT_v_Del
AFUB_090630-T	WT_v_Del
AFUB_059440-T	WT_v_Del
AFUB_044600-T	WT_v_Del
AFUB_079260-T	WT_v_Del
AFUB_070720-T	WT_v_Del
AFUB_077840-T	WT_v_Del
AFUB_058020-T	WT_v_Del
AFUB_076950-T	WT_v_Del
AFUB_030430-T	WT_v_Del
AFUB_071720-T	WT_v_Del
AFUB_034280-T	WT_v_Del
AFUB_081980-T	WT_v_Del
AFUB_071740-T	WT_v_Del
AFUB_030090-T	WT_v_Del
AFUB_085900-T	WT_v_Del
AFUB_100380-T	WT_v_Del
AFUB_085760-T	WT_v_Del
AFUB_033290-T	WT_v_Del
AFUB_033750-T	WT_v_Del
AFUB_061930-T	WT_v_Del
AFUB_029950-T	WT_v_Del
AFUB_095060-T	WT_v_Del
AFUB_081730-T	WT_v_Del
AFUB_003150-T	WT_v_Del
AFUB_101650-T	WT_v_Del
AFUB_052070-T	WT_v_Del
AFUB_100390-T	WT_v_Del
AFUB_034490-T	WT_v_Del
AFUB_036430-T	WT_v_Del
AFUB_045570-T	WT_v_Del
AFUB_052480-T	WT_v_Del
AFUB_101170-T	WT_v_Del
AFUB_071790-T	WT_v_Del
AFUB_071800-T	WT_v_Del
AFUB_046860-T	WT_v_Del
AFUB_046050-T	WT_v_Del
AFUB_076960-T	WT_v_Del
AFUB_101230-T	WT_v_Del
AFUB_082130-T	WT_v_Del
AFUB_055110-T	WT_v_Del
AFUB_039700-T	WT_v_Del
AFUB_037580-T	WT_v_Del
AFUB_057610-T	WT_v_Del
AFUB_091120-T	WT_v_Del
AFUB_080570-T	WT_v_Del
AFUB_071730-T	WT_v_Del
AFUB_086200-T	WT_v_Del
AFUB_034080-T	WT_v_Del
AFUB_099560-T	WT_v_Del
AFUB_063160-T	WT_v_Del
AFUB_013710-T	WT_v_Del
AFUB_037330-T	WT_v_Del
AFUB_052270-T	WT_v_Del
AFUB_094390-T	WT_v_Del
AFUB_096030-T	WT_v_Del
AFUB_071220-T	WT_v_Del
AFUB_051210-T	WT_v_Del
AFUB_078070-T	WT_v_Del
AFUB_030910-T	WT_v_Del
AFUB_087450-T	WT_v_Del
AFUB_041000-T	WT_v_Del
AFUB_068350-T	WT_v_Del
AFUB_009790-T	WT_v_Del
AFUB_016800-T	WT_v_Del
AFUB_097210-T	WT_v_Del
AFUB_074120-T	WT_v_Del
AFUB_086630-T	WT_v_Del
