Gene	Classification
AFUB_081340-T	WT_v_Del
AFUB_079010-T	WT_v_Del
AFUB_097910-T	WT_v_Del
AFUB_100170-T	WT_v_Del
AFUB_079150-T	WT_v_Del
AFUB_070670-T	WT_v_Del
AFUB_045180-T	WT_v_Del
AFUB_066650-T	WT_v_Del
AFUB_023400-T	WT_v_Del
AFUB_078930-T	WT_v_Del
AFUB_008140-T	WT_v_Del
AFUB_092520-T	WT_v_Del
AFUB_029790-T	WT_v_Del
AFUB_046170-T	WT_v_Del
AFUB_097830-T	WT_v_Del
AFUB_071310-T	WT_v_Del
AFUB_028330-T	WT_v_Del
AFUB_084820-T	WT_v_Del
AFUB_047520-T	WT_v_Del
AFUB_059940-T	WT_v_Del
AFUB_056290-T	WT_v_Del
AFUB_097640-T	WT_v_Del
AFUB_047540-T	WT_v_Del
AFUB_036340-T	WT_v_Del
AFUB_095890-T	WT_v_Del
AFUB_081830-T	WT_v_Del
AFUB_030390-T	WT_v_Del
AFUB_090700-T	WT_v_Del
AFUB_084830-T	WT_v_Del
AFUB_000770-T	WT_v_Del
AFUB_079830-T	WT_v_Del
AFUB_079160-T	WT_v_Del
AFUB_075770-T	WT_v_Del
AFUB_086950-T	WT_v_Del
AFUB_036960-T	WT_v_Del
AFUB_097550-T	WT_v_Del
AFUB_020310-T	WT_v_Del
AFUB_089190-T	WT_v_Del
AFUB_046370-T	WT_v_Del
AFUB_100720-T	WT_v_Del
AFUB_091880-T	WT_v_Del
AFUB_101400-T	WT_v_Del
AFUB_080480-T	WT_v_Del
AFUB_090760-T	WT_v_Del
AFUB_080280-T	WT_v_Del
AFUB_056260-T	WT_v_Del
AFUB_048530-T	WT_v_Del
AFUB_028280-T	WT_v_Del
AFUB_086420-T	WT_v_Del
AFUB_079130-T	WT_v_Del
AFUB_019140-T	WT_v_Del
AFUB_101970-T	WT_v_Del
AFUB_073750-T	WT_v_Del
AFUB_013490-T	WT_v_Del
AFUB_007820-T	WT_v_Del
AFUB_002700-T	WT_v_Del
AFUB_034680-T	WT_v_Del
AFUB_083650-T	WT_v_Del
AFUB_004050-T	WT_v_Del
AFUB_034890-T	WT_v_Del
AFUB_022080-T	WT_v_Del
AFUB_101390-T	WT_v_Del
AFUB_047240-T	WT_v_Del
AFUB_034350-T	WT_v_Del
AFUB_076580-T	WT_v_Del
AFUB_021310-T	WT_v_Del
AFUB_083190-T	WT_v_Del
AFUB_066940-T	WT_v_Del
AFUB_064960-T	WT_v_Del
AFUB_096490-T	WT_v_Del
AFUB_045440-T	WT_v_Del
AFUB_025940-T	WT_v_Del
AFUB_097770-T	WT_v_Del
AFUB_050120-T	WT_v_Del
AFUB_084810-T	WT_v_Del
AFUB_086370-T	WT_v_Del
AFUB_001220-T	WT_v_Del
AFUB_054570-T	WT_v_Del
AFUB_036170-T	WT_v_Del
AFUB_079370-T	WT_v_Del
AFUB_062400-T	WT_v_Del
AFUB_071040-T	WT_v_Del
AFUB_030940-T	WT_v_Del
AFUB_053940-T	WT_v_Del
AFUB_056430-T	WT_v_Del
AFUB_083690-T	WT_v_Del
AFUB_047270-T	WT_v_Del
AFUB_012250-T	WT_v_Del
AFUB_060540-T	WT_v_Del
AFUB_062550-T	WT_v_Del
AFUB_063740-T	WT_v_Del
AFUB_029560-T	WT_v_Del
AFUB_083840-T	WT_v_Del
AFUB_061810-T	WT_v_Del
AFUB_045890-T	WT_v_Del
