Gene	Classification
AFUB_074710-T	25_v_37,25_v_42
AFUB_062470-T	25_v_37,25_v_42
AFUB_078970-T	25_v_37,25_v_42
AFUB_017390-T	25_v_37,25_v_42
AFUB_055320-T	25_v_37,25_v_42
AFUB_053240-T	25_v_37,25_v_42
AFUB_076330-T	25_v_37,25_v_42
AFUB_041500-T	25_v_37,25_v_42
AFUB_010470-T	25_v_37,25_v_42
AFUB_080490-T	25_v_37,25_v_42
AFUB_053330-T	25_v_37,25_v_42
AFUB_089400-T	25_v_37,25_v_42
AFUB_057770-T	25_v_37,25_v_42
AFUB_050630-T	25_v_37,25_v_42
AFUB_035580-T	25_v_37,25_v_42
AFUB_022280-T	25_v_37,25_v_42
AFUB_074110-T	25_v_37,25_v_42
AFUB_049180-T	25_v_37,25_v_42
AFUB_080070-T	25_v_37,25_v_42
AFUB_024330-T	25_v_37,25_v_42
AFUB_083910-T	25_v_37,25_v_42
AFUB_101280-T	25_v_37,25_v_42
AFUB_000310-T	25_v_37,25_v_42
AFUB_090720-T	25_v_37,25_v_42
AFUB_078180-T	25_v_37,25_v_42
AFUB_086840-T	25_v_37,25_v_42
AFUB_042050-T	25_v_37,25_v_42
AFUB_057310-T	25_v_37,25_v_42
AFUB_058900-T	25_v_37,25_v_42
AFUB_072010-T	25_v_37,25_v_42
AFUB_079300-T	25_v_37,25_v_42
AFUB_049530-T	25_v_37,25_v_42
AFUB_102560-T	25_v_37,25_v_42
AFUB_052550-T	25_v_37,25_v_42
AFUB_097290-T	25_v_37,25_v_42
AFUB_006860-T	25_v_37,25_v_42
AFUB_072890-T	25_v_37,25_v_42
AFUB_063650-T	25_v_37,25_v_42
AFUB_077690-T	25_v_37,25_v_42
AFUB_049960-T	25_v_37,25_v_42
AFUB_050160-T	25_v_37,25_v_42
AFUB_065530-T	25_v_37,25_v_42
AFUB_054660-T	25_v_37,25_v_42
AFUB_096390-T	25_v_37,25_v_42
AFUB_102090-T	25_v_37,25_v_42
AFUB_006680-T	25_v_37,25_v_42
AFUB_006170-T	25_v_37,25_v_42
AFUB_020970-T	25_v_37,25_v_42
AFUB_054240-T	25_v_37,25_v_42
AFUB_095050-T	25_v_37,25_v_42
AFUB_003130-T	25_v_37,25_v_42
AFUB_036200-T	25_v_37,25_v_42
AFUB_028370-T	25_v_37,25_v_42
AFUB_098190-T	25_v_37,25_v_42
AFUB_035530-T	25_v_37,25_v_42
AFUB_024090-T	25_v_37,25_v_42
AFUB_007030-T	25_v_37,25_v_42
AFUB_016460-T	25_v_37,25_v_42
AFUB_021420-T	25_v_37,25_v_42
AFUB_061010-T	25_v_37,25_v_42
AFUB_016670-T	25_v_37,25_v_42
AFUB_057180-T	25_v_37,25_v_42
AFUB_099260-T	25_v_37,25_v_42
AFUB_023920-T	25_v_37,25_v_42
AFUB_014910-T	25_v_37,25_v_42
AFUB_049260-T	25_v_37,25_v_42
AFUB_047430-T	25_v_37,25_v_42
AFUB_086640-T	25_v_37,25_v_42
AFUB_021240-T	25_v_37,25_v_42
AFUB_014570-T	25_v_37,25_v_42
AFUB_033760-T	25_v_37,25_v_42
AFUB_079630-T	25_v_37,25_v_42
AFUB_078120-T	25_v_37,25_v_42
AFUB_000020-T	25_v_37,25_v_42
AFUB_024780-T	25_v_37,25_v_42
AFUB_020650-T	25_v_37,25_v_42
AFUB_065230-T	25_v_37,25_v_42
AFUB_058350-T	25_v_37,25_v_42
AFUB_100810-T	25_v_37,25_v_42
AFUB_000480-T	25_v_37,25_v_42
AFUB_034530-T	25_v_37,25_v_42
AFUB_090930-T	25_v_37,25_v_42
AFUB_072940-T	25_v_37,25_v_42
AFUB_039970-T	25_v_37,25_v_42
AFUB_005300-T	25_v_37,25_v_42
AFUB_049020-T	25_v_37,25_v_42
AFUB_004630-T	25_v_37,25_v_42
AFUB_049040-T	25_v_37,25_v_42
AFUB_079890-T	25_v_37,25_v_42
AFUB_035270-T	25_v_37,25_v_42
AFUB_085540-T	25_v_37,25_v_42
AFUB_024810-T	25_v_37,25_v_42
AFUB_071230-T	25_v_37,25_v_42
AFUB_088330-T	25_v_37,25_v_42
AFUB_076400-T	25_v_37,25_v_42
AFUB_065420-T	25_v_37,25_v_42
AFUB_021810-T	25_v_37,25_v_42
AFUB_048080-T	25_v_37,25_v_42
AFUB_097710-T	25_v_37,25_v_42
AFUB_102330-T	25_v_37,25_v_42
AFUB_070300-T	25_v_37,25_v_42
AFUB_029140-T	25_v_37,25_v_42
AFUB_090690-T	25_v_37,25_v_42
AFUB_096860-T	25_v_37,25_v_42
AFUB_030770-T	25_v_37,25_v_42
AFUB_034460-T	25_v_37,25_v_42
AFUB_081430-T	25_v_37,25_v_42
AFUB_070680-T	25_v_37,25_v_42
AFUB_030900-T	25_v_37,25_v_42
AFUB_028100-T	25_v_37,25_v_42
AFUB_032790-T	25_v_37,25_v_42
AFUB_010650-T	25_v_37,25_v_42
AFUB_101840-T	25_v_37,25_v_42
AFUB_056500-T	25_v_37,25_v_42
AFUB_015950-T	25_v_37,25_v_42
AFUB_086310-T	25_v_37,25_v_42
AFUB_045140-T	25_v_37,25_v_42
AFUB_005940-T	25_v_37,25_v_42
AFUB_011360-T	25_v_37,25_v_42
AFUB_089250-T	25_v_37,25_v_42
AFUB_093010-T	25_v_37,25_v_42
AFUB_092120-T	25_v_37,25_v_42
AFUB_064960-T	25_v_37,25_v_42
