Gene	Classification
AFUB_047020-T	WT_v_Del
AFUB_084810-T	WT_v_Del
AFUB_081340-T	WT_v_Del
AFUB_045170-T	WT_v_Del
AFUB_053570-T	WT_v_Del
AFUB_033760-T	WT_v_Del
AFUB_041340-T	WT_v_Del
AFUB_001120-T	WT_v_Del
AFUB_041930-T	WT_v_Del
AFUB_079150-T	WT_v_Del
AFUB_066660-T	WT_v_Del
AFUB_080270-T	WT_v_Del
AFUB_068730-T	WT_v_Del
AFUB_090420-T	WT_v_Del
AFUB_035460-T	WT_v_Del
AFUB_081370-T	WT_v_Del
AFUB_062550-T	WT_v_Del
AFUB_030140-T	WT_v_Del
AFUB_044830-T	WT_v_Del
AFUB_047540-T	WT_v_Del
AFUB_071690-T	WT_v_Del
AFUB_088610-T	WT_v_Del
AFUB_047430-T	WT_v_Del
AFUB_035000-T	WT_v_Del
AFUB_073440-T	WT_v_Del
AFUB_102050-T	WT_v_Del
AFUB_081830-T	WT_v_Del
AFUB_090700-T	WT_v_Del
AFUB_050440-T	WT_v_Del
AFUB_046760-T	WT_v_Del
AFUB_079160-T	WT_v_Del
AFUB_094780-T	WT_v_Del
AFUB_073010-T	WT_v_Del
AFUB_080260-T	WT_v_Del
AFUB_016820-T	WT_v_Del
AFUB_085960-T	WT_v_Del
AFUB_000660-T	WT_v_Del
AFUB_050450-T	WT_v_Del
AFUB_081350-T	WT_v_Del
AFUB_056180-T	WT_v_Del
AFUB_097110-T	WT_v_Del
AFUB_050140-T	WT_v_Del
AFUB_041330-T	WT_v_Del
AFUB_081360-T	WT_v_Del
AFUB_080280-T	WT_v_Del
AFUB_100460-T	WT_v_Del
AFUB_000750-T	WT_v_Del
AFUB_035090-T	WT_v_Del
AFUB_030020-T	WT_v_Del
AFUB_100120-T	WT_v_Del
AFUB_050130-T	WT_v_Del
AFUB_013970-T	WT_v_Del
AFUB_097100-T	WT_v_Del
AFUB_081630-T	WT_v_Del
AFUB_030040-T	WT_v_Del
AFUB_002700-T	WT_v_Del
AFUB_001310-T	WT_v_Del
AFUB_067020-T	WT_v_Del
AFUB_041370-T	WT_v_Del
AFUB_095000-T	WT_v_Del
AFUB_064440-T	WT_v_Del
AFUB_101390-T	WT_v_Del
AFUB_082870-T	WT_v_Del
AFUB_100910-T	WT_v_Del
AFUB_090710-T	WT_v_Del
AFUB_041570-T	WT_v_Del
AFUB_047180-T	WT_v_Del
