Gene	Classification
AFUB_092010-T	25_v_37,25_v_42,37_v_42
AFUB_081670-T	25_v_37,25_v_42,37_v_42
AFUB_049170-T	25_v_37,25_v_42,37_v_42
AFUB_020580-T	25_v_37,25_v_42,37_v_42
AFUB_079720-T	25_v_37,25_v_42,37_v_42
AFUB_079730-T	25_v_37,25_v_42,37_v_42
AFUB_048310-T	25_v_37,25_v_42,37_v_42
AFUB_100380-T	25_v_37,25_v_42,37_v_42
AFUB_069040-T	25_v_37,25_v_42,37_v_42
AFUB_094370-T	25_v_37,25_v_42,37_v_42
AFUB_085070-T	25_v_37,25_v_42,37_v_42
AFUB_100390-T	25_v_37,25_v_42,37_v_42
AFUB_027780-T	25_v_37,25_v_42,37_v_42
AFUB_079740-T	25_v_37,25_v_42,37_v_42
AFUB_084750-T	25_v_37,25_v_42,37_v_42
AFUB_001120-T	25_v_37,25_v_42,37_v_42
AFUB_044160-T	25_v_37,25_v_42,37_v_42
AFUB_096950-T	25_v_37,25_v_42,37_v_42
AFUB_038280-T	25_v_37,25_v_42,37_v_42
AFUB_044760-T	25_v_37,25_v_42,37_v_42
AFUB_042250-T	25_v_37,25_v_42,37_v_42
AFUB_044010-T	25_v_37,25_v_42,37_v_42
AFUB_045830-T	25_v_37,25_v_42,37_v_42
AFUB_018360-T	25_v_37,25_v_42,37_v_42
AFUB_087290-T	25_v_37,25_v_42,37_v_42
AFUB_033120-T	25_v_37,25_v_42,37_v_42
AFUB_084830-T	25_v_37,25_v_42,37_v_42
AFUB_049140-T	25_v_37,25_v_42,37_v_42
AFUB_033130-T	25_v_37,25_v_42,37_v_42
AFUB_100420-T	25_v_37,25_v_42,37_v_42
AFUB_079710-T	25_v_37,25_v_42,37_v_42
AFUB_027270-T	25_v_37,25_v_42,37_v_42
AFUB_061490-T	25_v_37,25_v_42,37_v_42
AFUB_100350-T	25_v_37,25_v_42,37_v_42
AFUB_025250-T	25_v_37,25_v_42,37_v_42
AFUB_071550-T	25_v_37,25_v_42,37_v_42
AFUB_033520-T	25_v_37,25_v_42,37_v_42
AFUB_003120-T	25_v_37,25_v_42,37_v_42
AFUB_092070-T	25_v_37,25_v_42,37_v_42
AFUB_076620-T	25_v_37,25_v_42,37_v_42
AFUB_079760-T	25_v_37,25_v_42,37_v_42
AFUB_047400-T	25_v_37,25_v_42,37_v_42
AFUB_033510-T	25_v_37,25_v_42,37_v_42
AFUB_044670-T	25_v_37,25_v_42,37_v_42
AFUB_092830-T	25_v_37,25_v_42,37_v_42
AFUB_071560-T	25_v_37,25_v_42,37_v_42
AFUB_090760-T	25_v_37,25_v_42,37_v_42
AFUB_030300-T	25_v_37,25_v_42,37_v_42
AFUB_080180-T	25_v_37,25_v_42,37_v_42
AFUB_028780-T	25_v_37,25_v_42,37_v_42
AFUB_075690-T	25_v_37,25_v_42,37_v_42
AFUB_064910-T	25_v_37,25_v_42,37_v_42
AFUB_081260-T	25_v_37,25_v_42,37_v_42
AFUB_006970-T	25_v_37,25_v_42,37_v_42
AFUB_013930-T	25_v_37,25_v_42,37_v_42
AFUB_079750-T	25_v_37,25_v_42,37_v_42
AFUB_079700-T	25_v_37,25_v_42,37_v_42
AFUB_080560-T	25_v_37,25_v_42,37_v_42
AFUB_035520-T	25_v_37,25_v_42,37_v_42
AFUB_092080-T	25_v_37,25_v_42,37_v_42
AFUB_071530-T	25_v_37,25_v_42,37_v_42
AFUB_101300-T	25_v_37,25_v_42,37_v_42
AFUB_026020-T	25_v_37,25_v_42,37_v_42
AFUB_033140-T	25_v_37,25_v_42,37_v_42
AFUB_017870-T	25_v_37,25_v_42,37_v_42
AFUB_092750-T	25_v_37,25_v_42,37_v_42
AFUB_054965-T	25_v_37,25_v_42,37_v_42
AFUB_100370-T	25_v_37,25_v_42,37_v_42
AFUB_079800-T	25_v_37,25_v_42,37_v_42
AFUB_087030-T	25_v_37,25_v_42,37_v_42
AFUB_064050-T	25_v_37,25_v_42,37_v_42
AFUB_061010-T	25_v_37,25_v_42,37_v_42
AFUB_024990-T	25_v_37,25_v_42,37_v_42
AFUB_025940-T	25_v_37,25_v_42,37_v_42
AFUB_094360-T	25_v_37,25_v_42,37_v_42
AFUB_033060-T	25_v_42,37_v_42
AFUB_070720-T	25_v_42,37_v_42
AFUB_012320-T	25_v_42,37_v_42
AFUB_081740-T	25_v_42,37_v_42
AFUB_099340-T	25_v_42,37_v_42
AFUB_099330-T	25_v_42,37_v_42
