Gene	Classification
AFUB_041460-T	WT_v_Del
AFUB_081340-T	WT_v_Del
AFUB_100380-T	WT_v_Del
AFUB_046050-T	WT_v_Del
AFUB_037580-T	WT_v_Del
AFUB_008140-T	WT_v_Del
AFUB_029790-T	WT_v_Del
AFUB_098740-T	WT_v_Del
AFUB_071750-T	WT_v_Del
AFUB_056290-T	WT_v_Del
AFUB_097640-T	WT_v_Del
AFUB_071820-T	WT_v_Del
AFUB_046600-T	WT_v_Del
AFUB_095890-T	WT_v_Del
AFUB_030390-T	WT_v_Del
AFUB_090620-T	WT_v_Del
AFUB_079830-T	WT_v_Del
AFUB_075770-T	WT_v_Del
AFUB_052480-T	WT_v_Del
AFUB_020310-T	WT_v_Del
AFUB_037330-T	WT_v_Del
AFUB_089190-T	WT_v_Del
AFUB_042540-T	WT_v_Del
AFUB_086420-T	WT_v_Del
AFUB_079130-T	WT_v_Del
AFUB_016970-T	WT_v_Del
AFUB_057610-T	WT_v_Del
AFUB_061930-T	WT_v_Del
AFUB_083650-T	WT_v_Del
AFUB_071760-T	WT_v_Del
AFUB_034520-T	WT_v_Del
AFUB_047240-T	WT_v_Del
AFUB_097940-T	WT_v_Del
AFUB_034350-T	WT_v_Del
AFUB_064960-T	WT_v_Del
AFUB_096490-T	WT_v_Del
AFUB_045510-T	WT_v_Del
AFUB_025940-T	WT_v_Del
AFUB_100130-T	WT_v_Del
AFUB_050120-T	WT_v_Del
AFUB_101170-T	WT_v_Del
AFUB_001220-T	WT_v_Del
AFUB_079370-T	WT_v_Del
AFUB_079640-T	WT_v_Del
AFUB_062400-T	WT_v_Del
AFUB_000740-T	WT_v_Del
AFUB_060540-T	WT_v_Del
AFUB_062550-T	WT_v_Del
AFUB_045890-T	WT_v_Del
AFUB_078210-T	WT_v_Del
AFUB_076220-T	WT_v_Del
AFUB_013100-T	WT_v_Del
AFUB_047650-T	WT_v_Del
AFUB_080910-T	WT_v_Del
AFUB_096000-T	WT_v_Del
AFUB_071000-T	WT_v_Del
AFUB_067700-T	WT_v_Del
AFUB_009810-T	WT_v_Del
AFUB_096750-T	WT_v_Del
AFUB_078070-T	WT_v_Del
AFUB_081940-T	WT_v_Del
AFUB_029470-T	WT_v_Del
AFUB_051210-T	WT_v_Del
AFUB_048800-T	WT_v_Del
AFUB_094360-T	WT_v_Del
AFUB_039490-T	WT_v_Del
AFUB_070980-T	WT_v_Del
AFUB_077770-T	WT_v_Del
AFUB_077780-T	WT_v_Del
AFUB_075360-T	WT_v_Del
AFUB_034050-T	WT_v_Del
AFUB_080320-T	WT_v_Del
AFUB_076950-T	WT_v_Del
AFUB_101830-T	WT_v_Del
AFUB_021270-T	WT_v_Del
AFUB_071790-T	WT_v_Del
AFUB_091120-T	WT_v_Del
AFUB_088380-T	WT_v_Del
AFUB_097860-T	WT_v_Del
AFUB_073740-T	WT_v_Del
AFUB_086820-T	WT_v_Del
AFUB_033000-T	WT_v_Del
AFUB_099880-T	WT_v_Del
AFUB_015920-T	WT_v_Del
AFUB_052070-T	WT_v_Del
AFUB_049260-T	WT_v_Del
AFUB_044680-T	WT_v_Del
AFUB_034090-T	WT_v_Del
AFUB_062130-T	WT_v_Del
AFUB_030020-T	WT_v_Del
AFUB_047690-T	WT_v_Del
AFUB_034690-T	WT_v_Del
AFUB_005200-T	WT_v_Del
AFUB_077840-T	WT_v_Del
AFUB_092150-T	WT_v_Del
AFUB_010700-T	WT_v_Del
AFUB_048520-T	WT_v_Del
AFUB_101280-T	WT_v_Del
AFUB_071030-T	WT_v_Del
AFUB_086650-T	WT_v_Del
AFUB_100370-T	WT_v_Del
AFUB_100910-T	WT_v_Del
AFUB_081370-T	WT_v_Del
AFUB_034530-T	WT_v_Del
AFUB_101610-T	WT_v_Del
AFUB_002710-T	WT_v_Del
AFUB_086200-T	WT_v_Del
AFUB_050830-T	WT_v_Del
AFUB_034080-T	WT_v_Del
AFUB_005640-T	WT_v_Del
AFUB_032660-T	WT_v_Del
AFUB_100390-T	WT_v_Del
AFUB_080570-T	WT_v_Del
AFUB_079740-T	WT_v_Del
AFUB_036150-T	WT_v_Del
AFUB_028890-T	WT_v_Del
AFUB_020220-T	WT_v_Del
AFUB_011850-T	WT_v_Del
AFUB_071780-T	WT_v_Del
