Gene	Classification
AFUB_038550-T	WT_v_Del
AFUB_006060-T	WT_v_Del
AFUB_065540-T	WT_v_Del
AFUB_084810-T	WT_v_Del
AFUB_067310-T	WT_v_Del
AFUB_091300-T	WT_v_Del
AFUB_088710-T	WT_v_Del
AFUB_021280-T	WT_v_Del
AFUB_021560-T	WT_v_Del
AFUB_035090-T	WT_v_Del
AFUB_045350-T	WT_v_Del
AFUB_035360-T	WT_v_Del
AFUB_034840-T	WT_v_Del
AFUB_065550-T	WT_v_Del
AFUB_016770-T	WT_v_Del
AFUB_079380-T	WT_v_Del
AFUB_024680-T	WT_v_Del
AFUB_060700-T	WT_v_Del
AFUB_034230-T	WT_v_Del
AFUB_050140-T	WT_v_Del
AFUB_076790-T	WT_v_Del
AFUB_086120-T	WT_v_Del
AFUB_087150-T	WT_v_Del
AFUB_024030-T	WT_v_Del
AFUB_035030-T	WT_v_Del
AFUB_067190-T	WT_v_Del
AFUB_077950-T	WT_v_Del
AFUB_030480-T	WT_v_Del
AFUB_048030-T	WT_v_Del
AFUB_047810-T	WT_v_Del
AFUB_067200-T	WT_v_Del
AFUB_041340-T	WT_v_Del
AFUB_071690-T	WT_v_Del
AFUB_065730-T	WT_v_Del
AFUB_031060-T	WT_v_Del
AFUB_081630-T	WT_v_Del
AFUB_091990-T	WT_v_Del
AFUB_029250-T	WT_v_Del
AFUB_054280-T	WT_v_Del
AFUB_047540-T	WT_v_Del
AFUB_001310-T	WT_v_Del
AFUB_030340-T	WT_v_Del
AFUB_034110-T	WT_v_Del
AFUB_086210-T	WT_v_Del
AFUB_000120-T	WT_v_Del
AFUB_047250-T	WT_v_Del
AFUB_100160-T	WT_v_Del
AFUB_017760-T	WT_v_Del
AFUB_084420-T	WT_v_Del
AFUB_003350-T	WT_v_Del
AFUB_028280-T	WT_v_Del
AFUB_065970-T	WT_v_Del
AFUB_071070-T	WT_v_Del
AFUB_034070-T	WT_v_Del
AFUB_060940-T	WT_v_Del
AFUB_030390-T	WT_v_Del
AFUB_047430-T	WT_v_Del
AFUB_045860-T	WT_v_Del
AFUB_068720-T	WT_v_Del
AFUB_066350-T	WT_v_Del
AFUB_034350-T	WT_v_Del
AFUB_100110-T	WT_v_Del
AFUB_000480-T	WT_v_Del
AFUB_096480-T	WT_v_Del
AFUB_096090-T	WT_v_Del
AFUB_091770-T	WT_v_Del
AFUB_099910-T	WT_v_Del
AFUB_092010-T	WT_v_Del
AFUB_020250-T	WT_v_Del
AFUB_000660-T	WT_v_Del
AFUB_095440-T	WT_v_Del
AFUB_101390-T	WT_v_Del
AFUB_071080-T	WT_v_Del
AFUB_090810-T	WT_v_Del
AFUB_100120-T	WT_v_Del
AFUB_002520-T	WT_v_Del
AFUB_097110-T	WT_v_Del
AFUB_097080-T	WT_v_Del
AFUB_100070-T	WT_v_Del
AFUB_068940-T	WT_v_Del
AFUB_081370-T	WT_v_Del
AFUB_049570-T	WT_v_Del
AFUB_029400-T	WT_v_Del
AFUB_067250-T	WT_v_Del
AFUB_028190-T	WT_v_Del
AFUB_036970-T	WT_v_Del
AFUB_079150-T	WT_v_Del
AFUB_100130-T	WT_v_Del
AFUB_017340-T	WT_v_Del
AFUB_056430-T	WT_v_Del
