Gene	Classification
AFUB_020690-T	WT_v_Del
AFUB_081340-T	WT_v_Del
AFUB_009860-T	WT_v_Del
AFUB_051330-T	WT_v_Del
AFUB_022910-T	WT_v_Del
AFUB_096840-T	WT_v_Del
AFUB_016770-T	WT_v_Del
AFUB_046730-T	WT_v_Del
AFUB_025480-T	WT_v_Del
AFUB_041930-T	WT_v_Del
AFUB_029790-T	WT_v_Del
AFUB_065970-T	WT_v_Del
AFUB_087740-T	WT_v_Del
AFUB_041190-T	WT_v_Del
AFUB_044860-T	WT_v_Del
AFUB_071750-T	WT_v_Del
AFUB_029400-T	WT_v_Del
AFUB_071820-T	WT_v_Del
AFUB_022920-T	WT_v_Del
AFUB_030390-T	WT_v_Del
AFUB_011090-T	WT_v_Del
AFUB_010190-T	WT_v_Del
AFUB_057300-T	WT_v_Del
AFUB_042120-T	WT_v_Del
AFUB_081040-T	WT_v_Del
AFUB_060700-T	WT_v_Del
AFUB_034310-T	WT_v_Del
AFUB_015630-T	WT_v_Del
AFUB_101080-T	WT_v_Del
AFUB_066690-T	WT_v_Del
AFUB_082510-T	WT_v_Del
AFUB_003760-T	WT_v_Del
AFUB_057610-T	WT_v_Del
AFUB_071070-T	WT_v_Del
AFUB_033140-T	WT_v_Del
AFUB_071760-T	WT_v_Del
AFUB_071940-T	WT_v_Del
AFUB_034350-T	WT_v_Del
AFUB_064960-T	WT_v_Del
AFUB_096490-T	WT_v_Del
AFUB_031560-T	WT_v_Del
AFUB_100130-T	WT_v_Del
AFUB_038550-T	WT_v_Del
AFUB_047020-T	WT_v_Del
AFUB_059550-T	WT_v_Del
AFUB_078920-T	WT_v_Del
AFUB_086620-T	WT_v_Del
AFUB_003600-T	WT_v_Del
AFUB_061170-T	WT_v_Del
AFUB_082860-T	WT_v_Del
AFUB_067190-T	WT_v_Del
AFUB_085740-T	WT_v_Del
AFUB_013920-T	WT_v_Del
AFUB_062550-T	WT_v_Del
AFUB_049380-T	WT_v_Del
AFUB_071690-T	WT_v_Del
AFUB_078210-T	WT_v_Del
AFUB_098850-T	WT_v_Del
AFUB_063700-T	WT_v_Del
AFUB_072350-T	WT_v_Del
AFUB_024680-T	WT_v_Del
