Gene	Classification
AFUB_047920-T	25_v_37,25_v_42
AFUB_004640-T	25_v_37,25_v_42
AFUB_030190-T	25_v_37,25_v_42
AFUB_049700-T	25_v_37,25_v_42
AFUB_052510-T	25_v_37,25_v_42
AFUB_004400-T	25_v_37,25_v_42
AFUB_051350-T	25_v_37,25_v_42
AFUB_053240-T	25_v_37,25_v_42
AFUB_006390-T	25_v_37,25_v_42
AFUB_046980-T	25_v_37,25_v_42
AFUB_070900-T	25_v_37,25_v_42
AFUB_022610-T	25_v_37,25_v_42
AFUB_010190-T	25_v_37,25_v_42
AFUB_079830-T	25_v_37,25_v_42
AFUB_075770-T	25_v_37,25_v_42
AFUB_090610-T	25_v_37,25_v_42
AFUB_089190-T	25_v_37,25_v_42
AFUB_060550-T	25_v_37,25_v_42
AFUB_061900-T	25_v_37,25_v_42
AFUB_078230-T	25_v_37,25_v_42
AFUB_086420-T	25_v_37,25_v_42
AFUB_057610-T	25_v_37,25_v_42
AFUB_088230-T	25_v_37,25_v_42
AFUB_034520-T	25_v_37,25_v_42
AFUB_081960-T	25_v_37,25_v_42
AFUB_071330-T	25_v_37,25_v_42
AFUB_088980-T	25_v_37,25_v_42
AFUB_034350-T	25_v_37,25_v_42
AFUB_047240-T	25_v_37,25_v_42
AFUB_064960-T	25_v_37,25_v_42
AFUB_002900-T	25_v_37,25_v_42
AFUB_012720-T	25_v_37,25_v_42
AFUB_090190-T	25_v_37,25_v_42
AFUB_062400-T	25_v_37,25_v_42
AFUB_034500-T	25_v_37,25_v_42
AFUB_003600-T	25_v_37,25_v_42
AFUB_031630-T	25_v_37,25_v_42
AFUB_065230-T	25_v_37,25_v_42
AFUB_037620-T	25_v_37,25_v_42
AFUB_005070-T	25_v_37,25_v_42
AFUB_011640-T	25_v_37,25_v_42
AFUB_028450-T	25_v_37,25_v_42
AFUB_000020-T	25_v_37,25_v_42
AFUB_019110-T	25_v_37,25_v_42
AFUB_036890-T	25_v_37,25_v_42
AFUB_095040-T	25_v_37,25_v_42
AFUB_037880-T	25_v_37,25_v_42
AFUB_046290-T	25_v_37,25_v_42
AFUB_071560-T	25_v_37,25_v_42
AFUB_047650-T	25_v_37,25_v_42
AFUB_080910-T	25_v_37,25_v_42
AFUB_003570-T	25_v_37,25_v_42
AFUB_101580-T	25_v_37,25_v_42
AFUB_084150-T	25_v_37,25_v_42
AFUB_017390-T	25_v_37,25_v_42
AFUB_057310-T	25_v_37,25_v_42
AFUB_021420-T	25_v_37,25_v_42
AFUB_044620-T	25_v_37,25_v_42
AFUB_027930-T	25_v_37,25_v_42
AFUB_028440-T	25_v_37,25_v_42
AFUB_029470-T	25_v_37,25_v_42
AFUB_051210-T	25_v_37,25_v_42
AFUB_037080-T	25_v_37,25_v_42
AFUB_065060-T	25_v_37,25_v_42
AFUB_052310-T	25_v_37,25_v_42
AFUB_062200-T	25_v_37,25_v_42
AFUB_017680-T	25_v_37,25_v_42
AFUB_059210-T	25_v_37,25_v_42
AFUB_001360-T	25_v_37,25_v_42
AFUB_023580-T	25_v_37,25_v_42
AFUB_040270-T	25_v_37,25_v_42
AFUB_045370-T	25_v_37,25_v_42
AFUB_000610-T	25_v_37,25_v_42
AFUB_015920-T	25_v_37,25_v_42
AFUB_041619-T	25_v_37,25_v_42
AFUB_029970-T	25_v_37,25_v_42
AFUB_049260-T	25_v_37,25_v_42
AFUB_005370-T	25_v_37,25_v_42
AFUB_009450-T	25_v_37,25_v_42
AFUB_068610-T	25_v_37,25_v_42
AFUB_097500-T	25_v_37,25_v_42
AFUB_047690-T	25_v_37,25_v_42
AFUB_035520-T	25_v_37,25_v_42
AFUB_091160-T	25_v_37,25_v_42
AFUB_043880-T	25_v_37,25_v_42
AFUB_010340-T	25_v_37,25_v_42
AFUB_066280-T	25_v_37,25_v_42
AFUB_100370-T	25_v_37,25_v_42
AFUB_036280-T	25_v_37,25_v_42
AFUB_100910-T	25_v_37,25_v_42
AFUB_034530-T	25_v_37,25_v_42
AFUB_101610-T	25_v_37,25_v_42
AFUB_002710-T	25_v_37,25_v_42
AFUB_018940-T	25_v_37,25_v_42
AFUB_071090-T	25_v_37,25_v_42
AFUB_037390-T	25_v_37,25_v_42
AFUB_046240-T	25_v_37,25_v_42
AFUB_079740-T	25_v_37,25_v_42
AFUB_071510-T	25_v_37,25_v_42
AFUB_044970-T	25_v_37,25_v_42
AFUB_047430-T	25_v_37,25_v_42
AFUB_051320-T	25_v_37,25_v_42
AFUB_072210-T	25_v_37,25_v_42
AFUB_092040-T	25_v_37,25_v_42
AFUB_024790-T	25_v_37,25_v_42
AFUB_047400-T	25_v_37,25_v_42
AFUB_080830-T	25_v_37,25_v_42
AFUB_018320-T	25_v_37,25_v_42
AFUB_027749-T	25_v_37,25_v_42
AFUB_094890-T	25_v_37,25_v_42
AFUB_028120-T	25_v_37,25_v_42
AFUB_049190-T	25_v_37,25_v_42
AFUB_081420-T	25_v_37,25_v_42
