Gene	Classification
AFUB_055510-T	25_v_42,37_v_42
AFUB_033060-T	25_v_42,37_v_42
AFUB_071880-T	25_v_42,37_v_42
AFUB_099320-T	25_v_42,37_v_42
AFUB_001220-T	25_v_42,37_v_42
AFUB_097800-T	25_v_42,37_v_42
AFUB_049710-T	25_v_42,37_v_42
AFUB_037650-T	25_v_42,37_v_42
AFUB_000970-T	25_v_42,37_v_42
AFUB_095450-T	25_v_42,37_v_42
AFUB_097770-T	25_v_42,37_v_42
AFUB_101660-T	25_v_42,37_v_42
AFUB_041570-T	25_v_42,37_v_42
AFUB_038470-T	25_v_42,37_v_42
AFUB_062180-T	25_v_42,37_v_42
AFUB_050440-T	25_v_42,37_v_42
AFUB_049320-T	25_v_42,37_v_42
AFUB_087570-T	25_v_42,37_v_42
AFUB_057840-T	25_v_42,37_v_42
AFUB_050450-T	25_v_42,37_v_42
AFUB_051200-T	25_v_42,37_v_42
AFUB_069950-T	25_v_42,37_v_42
AFUB_047370-T	25_v_42,37_v_42
AFUB_102100-T	25_v_42,37_v_42
AFUB_011970-T	25_v_42,37_v_42
AFUB_081320-T	25_v_42,37_v_42
AFUB_013470-T	25_v_42,37_v_42
AFUB_099310-T	25_v_42,37_v_42
AFUB_049600-T	25_v_42,37_v_42
AFUB_101680-T	25_v_42,37_v_42
AFUB_102030-T	25_v_42,37_v_42
AFUB_017730-T	25_v_42,37_v_42
AFUB_081240-T	25_v_42,37_v_42
AFUB_082030-T	25_v_42,37_v_42
AFUB_099330-T	25_v_42,37_v_42
AFUB_051170-T	25_v_42,37_v_42
AFUB_079320-T	25_v_42,37_v_42
AFUB_028410-T	25_v_42,37_v_42
AFUB_066950-T	25_v_42,37_v_42
AFUB_102090-T	25_v_42,37_v_42
AFUB_024180-T	25_v_42,37_v_42
AFUB_101310-T	25_v_42,37_v_42
AFUB_081740-T	25_v_42,37_v_42
AFUB_018400-T	25_v_42,37_v_42
AFUB_096500-T	25_v_42,37_v_42
AFUB_102060-T	25_v_42,37_v_42
AFUB_101670-T	25_v_42,37_v_42
AFUB_017310-T	25_v_42,37_v_42
AFUB_030020-T	25_v_42,37_v_42
AFUB_099340-T	25_v_42,37_v_42
AFUB_090710-T	25_v_42,37_v_42
AFUB_048760-T	25_v_42,37_v_42
AFUB_070350-T	25_v_42,37_v_42
AFUB_056590-T	25_v_42,37_v_42
AFUB_079800-T	25_v_37,25_v_42,37_v_42
AFUB_033130-T	25_v_37,25_v_42,37_v_42
AFUB_094370-T	25_v_37,25_v_42,37_v_42
AFUB_049140-T	25_v_37,25_v_42,37_v_42
AFUB_028780-T	25_v_37,25_v_42,37_v_42
AFUB_064050-T	25_v_37,25_v_42,37_v_42
AFUB_069040-T	25_v_37,25_v_42,37_v_42
AFUB_101300-T	25_v_37,25_v_42,37_v_42
AFUB_042250-T	25_v_37,25_v_42,37_v_42
AFUB_084750-T	25_v_37,25_v_42,37_v_42
AFUB_033120-T	25_v_37,25_v_42,37_v_42
AFUB_054965-T	25_v_37,25_v_42,37_v_42
AFUB_075690-T	25_v_37,25_v_42,37_v_42
AFUB_026020-T	25_v_37,25_v_42,37_v_42
AFUB_044160-T	25_v_37,25_v_42,37_v_42
AFUB_092830-T	25_v_37,25_v_42,37_v_42
AFUB_001120-T	25_v_37,25_v_42,37_v_42
AFUB_084830-T	25_v_37,25_v_42,37_v_42
AFUB_044760-T	25_v_37,25_v_42,37_v_42
AFUB_024990-T	25_v_37,25_v_42,37_v_42
AFUB_081260-T	25_v_37,25_v_42,37_v_42
AFUB_025940-T	25_v_37,25_v_42,37_v_42
AFUB_090760-T	25_v_37,25_v_42,37_v_42
AFUB_018360-T	25_v_37,25_v_42,37_v_42
AFUB_080180-T	25_v_37,25_v_42,37_v_42
AFUB_033140-T	25_v_37,25_v_42,37_v_42
AFUB_092750-T	25_v_37,25_v_42,37_v_42
AFUB_094360-T	25_v_37,25_v_42,37_v_42
AFUB_013930-T	25_v_37,25_v_42,37_v_42
AFUB_064910-T	25_v_37,25_v_42,37_v_42
AFUB_085070-T	25_v_37,25_v_42,37_v_42
AFUB_076620-T	25_v_37,25_v_42,37_v_42
AFUB_006970-T	25_v_37,25_v_42,37_v_42
AFUB_074730-T	25_v_37,25_v_42
AFUB_096680-T	25_v_37,25_v_42
AFUB_092170-T	25_v_37,25_v_42
AFUB_050630-T	25_v_37,25_v_42
AFUB_067700-T	25_v_37,25_v_42
AFUB_066570-T	25_v_37,25_v_42
