Gene	Classification
AFUB_071530-T	25_v_37,25_v_42,37_v_42
AFUB_087290-T	25_v_37,25_v_42,37_v_42
AFUB_079730-T	25_v_37,25_v_42,37_v_42
AFUB_061010-T	25_v_37,25_v_42,37_v_42
AFUB_092070-T	25_v_37,25_v_42,37_v_42
AFUB_047400-T	25_v_37,25_v_42,37_v_42
AFUB_079760-T	25_v_37,25_v_42,37_v_42
AFUB_020580-T	25_v_37,25_v_42,37_v_42
AFUB_027780-T	25_v_37,25_v_42,37_v_42
AFUB_061490-T	25_v_37,25_v_42,37_v_42
AFUB_100380-T	25_v_37,25_v_42,37_v_42
AFUB_033510-T	25_v_37,25_v_42,37_v_42
AFUB_087030-T	25_v_37,25_v_42,37_v_42
AFUB_080560-T	25_v_37,25_v_42,37_v_42
AFUB_092010-T	25_v_37,25_v_42,37_v_42
AFUB_003120-T	25_v_37,25_v_42,37_v_42
AFUB_027270-T	25_v_37,25_v_42,37_v_42
AFUB_100390-T	25_v_37,25_v_42,37_v_42
AFUB_079750-T	25_v_37,25_v_42,37_v_42
AFUB_044670-T	25_v_37,25_v_42,37_v_42
AFUB_017870-T	25_v_37,25_v_42,37_v_42
AFUB_100350-T	25_v_37,25_v_42,37_v_42
AFUB_081670-T	25_v_37,25_v_42,37_v_42
AFUB_100420-T	25_v_37,25_v_42,37_v_42
AFUB_048310-T	25_v_37,25_v_42,37_v_42
AFUB_092080-T	25_v_37,25_v_42,37_v_42
AFUB_079710-T	25_v_37,25_v_42,37_v_42
AFUB_035520-T	25_v_37,25_v_42,37_v_42
AFUB_038280-T	25_v_37,25_v_42,37_v_42
AFUB_079740-T	25_v_37,25_v_42,37_v_42
AFUB_049170-T	25_v_37,25_v_42,37_v_42
AFUB_079700-T	25_v_37,25_v_42,37_v_42
AFUB_033520-T	25_v_37,25_v_42,37_v_42
AFUB_071560-T	25_v_37,25_v_42,37_v_42
AFUB_079720-T	25_v_37,25_v_42,37_v_42
AFUB_100370-T	25_v_37,25_v_42,37_v_42
AFUB_096950-T	25_v_37,25_v_42,37_v_42
