Gene	Classification
AFUB_079730-T	WT_v_Del
AFUB_071810-T	WT_v_Del
AFUB_070900-T	WT_v_Del
AFUB_033320-T	WT_v_Del
AFUB_030100-T	WT_v_Del
AFUB_079760-T	WT_v_Del
AFUB_034560-T	WT_v_Del
AFUB_046390-T	WT_v_Del
AFUB_087590-T	WT_v_Del
AFUB_075510-T	WT_v_Del
AFUB_090490-T	WT_v_Del
AFUB_004490-T	WT_v_Del
AFUB_092170-T	WT_v_Del
AFUB_066380-T	WT_v_Del
AFUB_087020-T	WT_v_Del
AFUB_054230-T	WT_v_Del
AFUB_066520-T	WT_v_Del
AFUB_092420-T	WT_v_Del
AFUB_044990-T	WT_v_Del
AFUB_065490-T	WT_v_Del
AFUB_049180-T	WT_v_Del
AFUB_091820-T	WT_v_Del
AFUB_005210-T	WT_v_Del
AFUB_052470-T	WT_v_Del
AFUB_099620-T	WT_v_Del
AFUB_044090-T	WT_v_Del
AFUB_088060-T	WT_v_Del
AFUB_017700-T	WT_v_Del
AFUB_094800-T	WT_v_Del
AFUB_044960-T	WT_v_Del
AFUB_090720-T	WT_v_Del
AFUB_051200-T	WT_v_Del
AFUB_051160-T	WT_v_Del
AFUB_079180-T	WT_v_Del
AFUB_056340-T	WT_v_Del
AFUB_044980-T	WT_v_Del
AFUB_049900-T	WT_v_Del
AFUB_066630-T	WT_v_Del
AFUB_101570-T	WT_v_Del
AFUB_071170-T	WT_v_Del
AFUB_079870-T	WT_v_Del
AFUB_048240-T	WT_v_Del
AFUB_079710-T	WT_v_Del
AFUB_091710-T	WT_v_Del
AFUB_100400-T	WT_v_Del
AFUB_072450-T	WT_v_Del
AFUB_088360-T	WT_v_Del
AFUB_047570-T	WT_v_Del
AFUB_079540-T	WT_v_Del
AFUB_096340-T	WT_v_Del
AFUB_000270-T	WT_v_Del
AFUB_013930-T	WT_v_Del
AFUB_033520-T	WT_v_Del
AFUB_036270-T	WT_v_Del
AFUB_058540-T	WT_v_Del
AFUB_036280-T	WT_v_Del
AFUB_010210-T	WT_v_Del
AFUB_101760-T	WT_v_Del
AFUB_087490-T	WT_v_Del
AFUB_075920-T	WT_v_Del
AFUB_094900-T	WT_v_Del
AFUB_086820-T	WT_v_Del
AFUB_100690-T	WT_v_Del
AFUB_091810-T	WT_v_Del
AFUB_029980-T	WT_v_Del
AFUB_084410-T	WT_v_Del
AFUB_084900-T	WT_v_Del
AFUB_025700-T	WT_v_Del
AFUB_045780-T	WT_v_Del
AFUB_072460-T	WT_v_Del
