SAMPLE,Condition,Replicate,FilenameBase
Del_25_1,Del_25,1,LCS10268_Del_25_1_Clean_Data
Del_25_2,Del_25,2,LCS10268_Del_25_2_Clean_Data
Del_25_3,Del_25,3,LCS10268_Del_25_3_Clean_Data
Del_30_1,Del_30,1,LCS10268_Del_30_1_Clean_Data
Del_30_2,Del_30,2,LCS10268_Del_30_2_Clean_Data
Del_30_3,Del_30,3,LCS10268_Del_30_3_Clean_Data
Del_37_1,Del_37,1,LCS10268_Del_37_1_Clean_Data
Del_37_2,Del_37,2,LCS10268_Del_37_2_Clean_Data
Del_37_3,Del_37,3,LCS10268_Del_37_3_Clean_Data
Del_42_1,Del_42,1,LCS10268_Del_42_1_Clean_Data
Del_42_2,Del_42,2,LCS10268_Del_42_2_Clean_Data
Del_42_3,Del_42,3,LCS10268_Del_42_3_Clean_Data
WT_25_1,WT_25,1,LCS10268_WT_25_1_Clean_Data
WT_25_2,WT_25,2,LCS10268_WT_25_2_Clean_Data
WT_25_3,WT_25,3,LCS10268_WT_25_3_Clean_Data
WT_30_1,WT_30,1,LCS10268_WT_30_1_Clean_Data
WT_30_2,WT_30,2,LCS10268_WT_30_2_Clean_Data
WT_30_3,WT_30,3,LCS10268_WT_30_3_Clean_Data
WT_37_1,WT_37,1,LCS10268_WT_37_1_Clean_Data
WT_37_2,WT_37,2,LCS10268_WT_37_2_Clean_Data
WT_37_3,WT_37,3,LCS10268_WT_37_3_Clean_Data
WT_42_1,WT_42,1,LCS10268_WT_42_1_Clean_Data
WT_42_2,WT_42,2,LCS10268_WT_42_2_Clean_Data
WT_42_3,WT_42,3,LCS10268_WT_42_3_Clean_Data
